adcode,elev_mean,elev_std,elev_min,elev_max,relief,slope_mean,slope_std,slope_max,roughness,dem_n
320583,3.039104005660791,2.324608307838618,-9.0,70.49252319335938,79.49252319335938,0.7172025856738408,0.7078636288209216,19.528827667236328,0.3847532970791764,127005
320585,2.819090083502659,1.9629600848180766,-7.910643577575684,48.907127380371094,56.81777095794678,0.46070350150020684,0.54844996611486,18.289960861206055,0.2437583644835919,112395
320602,3.4675034733749426,3.0740028294652593,-3.467703342437744,102.4774398803711,105.94514322280884,0.5028550544014451,0.9087783154370285,30.187307357788086,0.27654298107367337,80089
320612,4.165663711298961,1.4108535438463308,-5.310140132904053,24.295089721679688,29.60522985458374,0.34667736121140796,0.37733404293268125,7.673199653625488,0.17224153909855386,200040
320623,3.902189155045394,1.7378912644445783,-6.574158668518066,58.77334213256836,65.34750080108643,0.31731921582320577,0.5013637596314847,19.954978942871094,0.16745115483431203,314702
320681,2.289434817889924,1.5085788368498976,-3.3568427562713623,36.73108673095703,40.087929487228394,0.24931083016423133,0.3342184463844209,11.37118911743164,0.13219124566138346,231098
320682,5.151036126886067,1.4848140265621161,-1.5,27.45911407470703,28.95911407470703,0.4042549373703417,0.4101843370943199,9.788328170776367,0.20834538873923444,215802
320684,3.5686610404768495,1.5110264088454912,-8.237594604492188,22.568817138671875,30.806411743164062,0.34538110084611573,0.38301080109507774,7.165339469909668,0.17457715350227074,155892
320685,4.359968822004201,1.2725566698259692,-2.682223081588745,24.164281845092773,26.84650492668152,0.33927811089293647,0.3722012727720013,7.635797500610352,0.17334313200795165,160731
320703,24.493696935624232,76.23535419063415,-17.368940353393555,612.6636352539062,630.0325756072998,2.465930062745383,6.106349390284764,43.72786331176758,0.8563441448337014,109220
320706,19.090284597409536,59.23432625440696,-5.314958095550537,556.9833984375,562.2983565330505,2.040291224602387,5.001070609433355,42.8262825012207,0.7722994590104008,103455
320707,19.48281061196128,22.419233827575827,-8.678170204162598,352.73004150390625,361.40821170806885,1.0333325043792603,1.6147690128897236,34.66996765136719,0.482930978696073,208119
320722,28.043127262477352,23.71357508269226,-11.0,232.40664672851562,243.40664672851562,0.7816638518122541,0.9343593262347172,34.35557174682617,0.3850181862017438,287718
320723,3.65406213532105,5.324949658460069,-20.5,219.45877075195312,239.95877075195312,0.458833151906053,1.185543832187581,36.732025146484375,0.2463884875526188,217444
320724,4.228508026498507,2.3442293332777107,-2.5,22.926849365234375,25.426849365234375,0.6993771651413131,0.7412616432100859,10.237187385559082,0.37880933977101106,145915
320803,5.799650543963272,2.7361521347875155,-3.0,29.286426544189453,32.28642654418945,0.6626360603269806,0.6989023263561106,9.484529495239258,0.3568489739747502,205197
320804,12.638691968993252,2.8471665319784485,0.3027413487434387,33.302589416503906,32.99984806776047,0.7086936541400103,0.7528373455725642,10.205024719238281,0.37627608882279284,182534
320812,10.410902917023918,2.9823555807772832,-1.6699515581130981,36.310035705566406,37.979987263679504,0.8191542163594987,0.8167368626625651,9.86092472076416,0.44467505943393765,60771
320813,9.424020918708106,2.3341786275334764,3.0,61.46039962768555,58.46039962768555,0.3577976079511176,0.6372441818039596,14.288267135620117,0.20359827021101023,179300
320826,7.967389318885214,3.2930413210065863,-3.0,31.493993759155273,34.49399375915527,0.9455002744673653,0.8629351732635493,11.035362243652344,0.4925932217013334,234842
320830,37.179060640812054,33.47807985289316,4.0,226.2436065673828,222.2436065673828,1.6940676336700393,2.8162583338644778,37.2518424987793,0.726534197529104,347005
320831,8.075459375141163,4.2358815526174185,2.0,44.561988830566406,42.561988830566406,0.627668076571698,0.8361930118995279,9.602295875549316,0.35336136377232574,193865
320902,2.669919423848709,1.101439867235355,-6.0,23.693729400634766,29.693729400634766,0.3336354497844615,0.44634214939322686,7.469550609588623,0.183405487816287,139939
320903,2.3136152754650046,1.1403324216089605,-5.649848937988281,19.272502899169922,24.922351837158203,0.32677195985178714,0.35836558819806497,7.174826622009277,0.18239668723929917,146185
320904,2.678890142668514,1.3423424643331852,-3.0,21.51941680908203,24.51941680908203,0.2826950083587233,0.41831380490870707,9.11552619934082,0.16400258785884905,400736
320921,3.8731811429600995,2.483805970682822,-7.0,24.551620483398438,31.551620483398438,0.42151890008077303,0.5938329445818675,10.269804000854492,0.23846322477482687,198594
320922,2.5899317326472446,1.9835895843798217,-8.67751693725586,27.94526481628418,36.62278175354004,0.3240896174285346,0.43352799404863773,9.531900405883789,0.17738320625564005,276488
320923,3.2510821614451135,2.18137352502519,-7.3481011390686035,26.403797149658203,33.75189828872681,0.5255094790193371,0.5870158585645754,7.410712242126465,0.27909201911614,201597
320924,1.6839599732887207,0.8377962359432484,-8.0,24.41522789001465,32.41522789001465,0.21793437185461562,0.3140257356934571,7.965672016143799,0.12303354258892421,361098
320925,2.0668099567692964,1.3270639487745743,-9.384981155395508,18.524415969848633,27.90939712524414,0.4157187535945921,0.46150721296813657,6.899435997009277,0.22860799282323532,160817
320981,3.9743100476920166,1.585911124816335,-2.9050133228302,29.389083862304688,32.29409718513489,0.32147560921369434,0.48810048462985384,9.041452407836914,0.17083234946011866,352646
321002,5.485425621028735,3.3341684863773913,-0.5,23.505460739135742,24.005460739135742,0.9432631636336931,0.9537228283300281,10.080385208129883,0.5251083312691458,47089
321003,10.971283875899452,8.010802221490078,-1.9768085479736328,57.56507873535156,59.541887283325195,0.8459787812122921,0.8277969592877223,10.385286331176758,0.42961614979070933,88517
321012,4.598822542084707,2.3156688076858,-4.978231430053711,36.09944152832031,41.07767295837402,0.5554840057398379,0.6001981085637531,12.484578132629395,0.2976160968960538,182712
321023,3.5624132954523136,2.844567125375232,-5.0,31.566999435424805,36.566999435424805,0.6111038185710683,0.7480368338874239,12.14547061920166,0.34000352864616246,204969
321081,23.24828546399435,14.967306866880767,-0.6712827682495117,142.53326416015625,143.20454692840576,1.3111239347546246,1.1462382408042107,23.489896774291992,0.5779850818086999,124477
321084,4.110904811081992,3.4867050247202336,-7.167980194091797,38.381752014160156,45.54973220825195,0.44929458000533395,0.5450045001841903,9.199934005737305,0.24814307948594788,262412
321102,11.728551968613717,13.736474718637496,-4.5,241.2762451171875,245.7762451171875,1.5517325173431193,2.549375391130867,40.365360260009766,0.7681918860715088,47497
321111,23.217701856531793,27.796962964584562,-18.7156925201416,305.6166687011719,324.3323612213135,3.0574925833172433,4.17588573332574,30.839824676513672,1.3481668375132574,16964
321112,21.20617706767918,26.848140232890973,0.0,333.1648864746094,333.1648864746094,1.882089149931628,3.056280559184621,38.15468978881836,0.7896710725910874,83402
321181,8.5671573048957,7.695044767630139,-0.42771872878074646,149.81130981445312,150.23902854323387,0.9051685047722886,1.4197222590490495,34.25083541870117,0.4539449278329082,144071
321182,2.993666504779205,2.242656395800479,-5.392427444458008,37.44272994995117,42.83515739440918,0.6004700852234526,0.65298299535676,11.676630973815918,0.33311668408867584,44116
321183,44.12374327266032,45.0414676067701,-47.890987396240234,427.8318176269531,475.72280502319336,3.057800782592999,4.456075501950641,38.24689865112305,1.1716193060562836,189808
321202,4.5790484388157795,2.5498516743011237,-4.5,26.78097152709961,31.28097152709961,0.6668358434174253,0.6354025217305085,8.714186668395996,0.34209113413123604,53601
321203,4.992751095447226,2.0833461121596786,-4.605366230010986,21.76851463317871,26.373880863189697,0.5577828196269873,0.5407447217532346,6.716572284698486,0.2950870359228895,44541
321204,4.303007935501127,1.7996977540888952,-4.987857341766357,22.619585037231445,27.607442378997803,0.40487694077717706,0.38833291161798156,6.871846675872803,0.21142816235872408,118991
321281,2.2771925540900986,1.2529627130743977,-7.0,22.74365234375,29.74365234375,0.3917934528890914,0.405494369511328,7.359001636505127,0.21643280201602993,332570
321282,3.63932274016693,2.15424989457221,-5.362032890319824,43.93077087402344,49.29280376434326,0.5460863071407261,0.5700611585085532,15.117987632751465,0.2844782505689032,89508
321283,5.129304269489194,1.540670346416981,-8.081131935119629,37.115692138671875,45.196824073791504,0.49276784101174437,0.4356101246493819,11.804271697998047,0.2611418967062006,161928
321302,20.16749846835133,4.790515110567584,4.5,44.36419677734375,39.86419677734375,0.6869621769832247,0.7068991630776473,9.508729934692383,0.3681758811671097,142971
