adcode,name_zh,level,province,reach,prefecture_zh,area_km2,county_id,ndvi_mean,n_obs,year
321323,泗阳县,district,Jiangsu,downstream,宿迁市,1379.48546661809,321323,0.4443375442613347,37561,2020
321324,泗洪县,district,Jiangsu,downstream,宿迁市,2700.684493187553,321324,0.40385700704030153,72156,2020
330102,上城区,district,Zhejiang,downstream,杭州市,120.23861526526606,330102,0.23472252747252756,3276,2020
330105,拱墅区,district,Zhejiang,downstream,杭州市,98.57657739062329,330105,0.29311866096866107,2808,2020
330106,西湖区,district,Zhejiang,downstream,杭州市,311.41437016367126,330106,0.44065034754402227,8632,2020
330108,滨江区,district,Zhejiang,downstream,杭州市,71.03532845427486,330108,0.28220972222222224,1944,2020
330109,萧山区,district,Zhejiang,downstream,杭州市,998.1588784339368,330109,0.40617579654236324,27996,2020
330110,余杭区,district,Zhejiang,downstream,杭州市,948.3171745451365,330110,0.5224439369900273,26472,2020
330111,富阳区,district,Zhejiang,downstream,杭州市,1826.9152836895587,330111,0.5900773092959071,51087,2020
330112,临安区,district,Zhejiang,downstream,杭州市,3110.6944494541794,330112,0.6171246235942158,87140,2020
330114,钱塘区,district,Zhejiang,downstream,杭州市,522.2624498897535,330114,0.3032918223299586,14026,2020
330113,临平区,district,Zhejiang,downstream,杭州市,282.67951494420026,330113,0.35195703675730117,7944,2020
330122,桐庐县,district,Zhejiang,downstream,杭州市,1836.3702949641602,330122,0.6238638908313906,51480,2020
330127,淳安县,district,Zhejiang,downstream,杭州市,4423.373509961945,330127,0.598777924595354,123812,2020
330182,建德市,district,Zhejiang,downstream,杭州市,2325.936264706112,330182,0.6214822281738706,64968,2020
330203,海曙区,district,Zhejiang,downstream,宁波市,592.761668530871,330203,0.5509817344961241,16512,2020
330205,江北区,district,Zhejiang,downstream,宁波市,208.47894935377983,330205,0.4174428669410151,5832,2020
330206,北仑区,district,Zhejiang,downstream,宁波市,671.2116836368905,330206,0.4312233765504854,17817,2020
330211,镇海区,district,Zhejiang,downstream,宁波市,271.373357945431,330211,0.3651391249474127,7131,2020
330212,鄞州区,district,Zhejiang,downstream,宁波市,832.0798742124622,330212,0.48520694208976534,22414,2020
330213,奉化区,district,Zhejiang,downstream,宁波市,1342.7525621118245,330213,0.6033158885978216,36265,2020
330225,象山县,district,Zhejiang,downstream,宁波市,1510.7799775122069,330225,0.4659466249182636,39762,2020
330226,宁海县,district,Zhejiang,downstream,宁波市,1903.5766269444198,330226,0.562420545826974,49796,2020
330281,余姚市,district,Zhejiang,downstream,宁波市,1537.593455814174,330281,0.5454573060361498,38783,2020
330282,慈溪市,district,Zhejiang,downstream,宁波市,1486.8680257906806,330282,0.3993132591367123,33245,2020
330302,鹿城区,district,Zhejiang,downstream,温州市,291.52318862318873,330302,0.46367086149686626,8137,2020
330303,龙湾区,district,Zhejiang,downstream,温州市,321.8454801080001,330303,0.31256800667475737,6592,2020
330304,瓯海区,district,Zhejiang,downstream,温州市,465.02983837852247,330304,0.5404764274691358,12960,2020
330305,洞头区,district,Zhejiang,downstream,温州市,355.0367821272163,330305,0.26838769678302543,5844,2020
330324,永嘉县,district,Zhejiang,downstream,温州市,2675.8904197623315,330324,0.6737211808522,74912,2020
330326,平阳县,district,Zhejiang,downstream,温州市,980.775435276393,330326,0.5786454020876213,27208,2020
330327,苍南县,district,Zhejiang,downstream,温州市,1230.013925688285,330327,0.5601800372957428,31639,2020
330328,文成县,district,Zhejiang,downstream,温州市,1293.6546520131037,330328,0.6401996903339972,36168,2020
330329,泰顺县,district,Zhejiang,downstream,温州市,1767.7716534602278,330329,0.6587932190729979,49536,2020
