src,dst,drop_m,src_elev,dst_elev,cross_reach,cross_province
320581,320684,0.704109743547968,4.272770784024817,3.568661040476849,False,False
321282,320582,0.029106566067124806,3.63932274016693,3.610216174099805,False,False
320582,320602,0.14271270072486253,3.610216174099805,3.4675034733749426,False,False
320612,320582,0.5554475371991563,4.165663711298961,3.610216174099805,False,False
320682,320582,1.5408199527862623,5.151036126886067,3.610216174099805,False,False
320583,320585,0.22001392215813187,3.039104005660791,2.819090083502659,False,False
320684,320585,0.74957095697419,3.568661040476849,2.819090083502659,False,False
320684,320602,0.10115756710190649,3.568661040476849,3.4675034733749426,False,False
320612,320602,0.6981602379240188,4.165663711298961,3.4675034733749426,False,False
320612,320684,0.5970026708221123,4.165663711298961,3.568661040476849,False,False
320612,320623,0.2634745562535672,4.165663711298961,3.902189155045394,False,False
320682,320612,0.985372415587106,5.151036126886067,4.165663711298961,False,False
320682,320623,1.2488469718406732,5.151036126886067,3.902189155045394,False,False
320685,320623,0.4577796669588068,4.359968822004201,3.902189155045394,False,False
320684,320681,1.2792262225869249,3.568661040476849,2.289434817889924,False,False
320682,321282,1.5117133867191375,5.151036126886067,3.63932274016693,False,False
320682,321283,0.021731857396873444,5.151036126886067,5.129304269489194,False,False
320682,320685,0.7910673048818664,5.151036126886067,4.359968822004201,False,False
321283,320685,0.7693354474849929,5.129304269489194,4.359968822004201,False,False
320685,321204,0.05696088650307374,4.359968822004201,4.303007935501127,False,False
320685,320981,0.385658774312184,4.359968822004201,3.974310047692017,False,False
320703,320723,20.83963480030318,24.493696935624232,3.65406213532105,False,False
320703,320706,5.403412338214697,24.493696935624232,19.090284597409536,False,False
320706,320723,15.436222462088486,19.090284597409536,3.65406213532105,False,False
320722,320706,8.952842665067816,28.043127262477352,19.090284597409536,False,False
320707,320706,0.39252601455174485,19.48281061196128,19.090284597409536,False,False
320722,320707,8.560316650516071,28.043127262477352,19.48281061196128,False,False
320722,320723,24.3890651271563,28.043127262477352,3.65406213532105,False,False
320722,321322,19.642378442664494,28.043127262477352,8.40074881981286,False,False
320724,320723,0.574445891177457,4.228508026498507,3.65406213532105,False,False
320921,320723,0.2191190076390499,3.8731811429601,3.65406213532105,False,False
321322,320723,4.746686684491809,8.40074881981286,3.65406213532105,False,False
320826,320724,3.738881292386707,7.967389318885214,4.228508026498507,False,False
320724,320921,0.35532688353840713,4.228508026498507,3.8731811429601,False,False
321322,320724,4.172240793314352,8.40074881981286,4.228508026498507,False,False
320803,321023,2.237237248510959,5.799650543963272,3.5624132954523136,False,False
320812,320803,4.611252373060646,10.410902917023918,5.799650543963272,False,False
320803,320925,3.732840587193976,5.799650543963272,2.0668099567692964,False,False
320813,320803,3.6243703747448333,9.424020918708106,5.799650543963272,False,False
320803,320923,2.5485683825181593,5.799650543963272,3.251082161445113,False,False
320826,320803,2.1677387749219417,7.967389318885214,5.799650543963272,False,False
320804,320812,2.2277890519693333,12.638691968993252,10.410902917023918,False,False
320804,320813,3.214671050285146,12.638691968993252,9.424020918708106,False,False
321324,320804,4.113869703330968,16.75256167232422,12.638691968993252,False,False
321323,320804,1.6121937483594824,14.250885717352734,12.638691968993252,False,False
320804,320826,4.6713026501080375,12.638691968993252,7.967389318885214,False,False
320804,321322,4.237943149180392,12.638691968993252,8.40074881981286,False,False
320812,320813,0.9868819983158126,10.410902917023918,9.424020918708106,False,False
320812,320826,2.443513598138704,10.410902917023918,7.967389318885214,False,False
320830,320813,27.75503972210394,37.17906064081205,9.424020918708106,False,False
320813,320831,1.3485615435669427,9.424020918708106,8.075459375141163,False,False
320813,321023,5.861607623255792,9.424020918708106,3.5624132954523136,False,False
321324,320813,7.328540753616114,16.75256167232422,9.424020918708106,False,False
320826,320923,4.7163071574401005,7.967389318885214,3.251082161445113,False,False
320826,320922,5.37745758623797,7.967389318885214,2.5899317326472446,False,False
320826,320921,4.0942081759251145,7.967389318885214,3.8731811429601,False,False
321322,320826,0.4333595009276454,8.40074881981286,7.967389318885214,False,False
341122,320830,5.54932591772603,42.72838655853808,37.17906064081205,False,True
341182,320830,11.721631495753265,48.90069213656531,37.17906064081205,False,True
320830,341181,15.741247543649024,37.17906064081205,21.437813097163023,False,True
320830,320831,29.103601265670882,37.17906064081205,8.075459375141163,False,False
320830,321324,20.426498968487827,37.17906064081205,16.75256167232422,False,False
341181,320831,13.36235372202186,21.437813097163023,8.075459375141163,False,True
320831,321084,3.9645545640591706,8.075459375141163,4.110904811081992,False,False
320831,321023,4.513046079688849,8.075459375141163,3.5624132954523136,False,False
320902,320903,0.35630414838370417,2.669919423848709,2.313615275465005,False,False
320904,320902,0.008970718819804713,2.678890142668514,2.669919423848709,False,False
320902,320925,0.6031094670794128,2.669919423848709,2.0668099567692964,False,False
320902,320924,0.9859594505599885,2.669919423848709,1.6839599732887207,False,False
320903,321281,0.03642272137490643,2.313615275465005,2.2771925540900986,False,False
321023,320903,1.2487980199873085,3.5624132954523136,2.313615275465005,False,False
320904,320903,0.3652748672035089,2.678890142668514,2.313615275465005,False,False
320903,320925,0.24680531869570865,2.313615275465005,2.0668099567692964,False,False
320981,320904,1.2954199050235031,3.974310047692017,2.678890142668514,False,False
320904,321281,0.4016975885784153,2.678890142668514,2.2771925540900986,False,False
320921,320922,1.2832494103128553,3.8731811429601,2.5899317326472446,False,False
320923,320922,0.6611504287978685,3.251082161445113,2.5899317326472446,False,False
320922,320924,0.9059717593585239,2.5899317326472446,1.6839599732887207,False,False
320923,320925,1.1842722046758167,3.251082161445113,2.0668099567692964,False,False
320923,320924,1.5671221881563924,3.251082161445113,1.6839599732887207,False,False
320925,320924,0.38284998348057564,2.0668099567692964,1.6839599732887207,False,False
321023,320925,1.4956033386830172,3.5624132954523136,2.0668099567692964,False,False
321204,320981,0.32869788780911025,4.303007935501127,3.974310047692017,False,False
320981,321281,1.6971174936019184,3.974310047692017,2.2771925540900986,False,False
321112,321002,15.720751446650446,21.20617706767918,5.485425621028735,False,False
321002,321182,2.4917591162495305,5.485425621028735,2.993666504779205,False,False
321102,321002,6.243126347584981,11.728551968613717,5.485425621028735,False,False
321003,321002,5.485858254870717,10.971283875899452,5.485425621028735,False,False
321002,321012,0.8866030789440282,5.485425621028735,4.598822542084707,False,False
321112,321003,10.23489319177973,21.20617706767918,10.971283875899452,False,False
321111,321003,12.246417980632344,23.217701856531797,10.971283875899452,False,False
321102,321003,0.7572680927142645,11.728551968613717,10.971283875899452,False,False
321081,321003,12.277001588094897,23.24828546399435,10.971283875899452,False,False
321003,321012,6.372461333814745,10.971283875899452,4.598822542084707,False,False
321003,321084,6.86037906481746,10.971283875899452,4.110904811081992,False,False
321012,321182,1.6051560373055023,4.598822542084707,2.993666504779205,False,False
321203,321012,0.3939285533625192,4.992751095447226,4.598822542084707,False,False
321012,321202,0.0197741032689267,4.598822542084707,4.57904843881578,False,False
321012,321204,0.29581460658357983,4.598822542084707,4.303007935501127,False,False
321012,321084,0.48791773100271474,4.598822542084707,4.110904811081992,False,False
321012,321281,2.3216299879946085,4.598822542084707,2.2771925540900986,False,False
321084,321023,0.5484915156296788,4.110904811081992,3.5624132954523136,False,False
321023,321281,1.285220741362215,3.5624132954523136,2.2771925540900986,False,False
321081,321112,2.042108396315168,23.24828546399435,21.20617706767918,False,False
321081,341181,1.810472366831327,23.24828546399435,21.437813097163023,False,True
321081,321084,19.137380652912356,23.24828546399435,4.110904811081992,False,False
341181,321084,17.32690828608103,21.437813097163023,4.110904811081992,False,True
321084,321281,1.8337122569918938,4.110904811081992,2.2771925540900986,False,False
321102,321181,3.161394663718017,11.728551968613717,8.5671573048957,False,False
321112,321102,9.477625099065465,21.20617706767918,11.728551968613717,False,False
321111,321102,11.48914988791808,23.217701856531797,11.728551968613717,False,False
321102,321182,8.734885463834512,11.728551968613717,2.993666504779205,False,False
321183,321111,20.906041416128524,44.12374327266032,23.217701856531797,False,False
321111,321112,2.011524788852615,23.217701856531797,21.20617706767918,False,False
321183,321112,22.91756620498114,44.12374327266032,21.20617706767918,False,False
321112,321181,12.639019762783482,21.20617706767918,8.5671573048957,False,False
321112,321182,18.212510562899975,21.20617706767918,2.993666504779205,False,False
321181,321182,5.573490800116495,8.5671573048957,2.993666504779205,False,False
321283,321182,2.135637764709989,5.129304269489194,2.993666504779205,False,False
321203,321182,1.9990845906680215,4.992751095447226,2.993666504779205,False,False
321203,321202,0.4137026566314459,4.992751095447226,4.57904843881578,False,False
321202,321204,0.27604050331465313,4.57904843881578,4.303007935501127,False,False
