adcode,name_zh,province,reach,area_km2,karst_km2,karst_frac
321282,靖江市,Jiangsu,downstream,651.0487483897664,0.0,0.0
321283,泰兴市,Jiangsu,downstream,1175.6776743360113,0.0,0.0
321302,宿城区,Jiangsu,downstream,1019.8923780899019,0.0,0.0
321311,宿豫区,Jiangsu,downstream,1124.95695669411,0.0,0.0
321322,沭阳县,Jiangsu,downstream,2305.461586544088,177.3392250648307,0.0769213532335033
321323,泗阳县,Jiangsu,downstream,1379.48546661809,0.0,0.0
321324,泗洪县,Jiangsu,downstream,2700.684493187553,0.0,0.0
330102,上城区,Zhejiang,downstream,120.23861526526606,7.683223133637721,0.063899797221444
330105,拱墅区,Zhejiang,downstream,98.57657739062329,66.56012226786102,0.675212347899921
330106,西湖区,Zhejiang,downstream,311.41437016367126,309.7876057223197,0.9947762062473335
330108,滨江区,Zhejiang,downstream,71.03532845427486,58.77888930068034,0.8274599495730643
330109,萧山区,Zhejiang,downstream,998.1588784339368,798.4579088570098,0.7999306784805158
330110,余杭区,Zhejiang,downstream,948.3171745451365,788.103940803775,0.831055222828577
330111,富阳区,Zhejiang,downstream,1826.9152836895587,1801.971524757082,0.9863465158153906
330112,临安区,Zhejiang,downstream,3110.6944494541794,1133.7773557205883,0.36447724909771434
330114,钱塘区,Zhejiang,downstream,522.2624498897535,0.0,0.0
330113,临平区,Zhejiang,downstream,282.67951494420026,24.002663258316392,0.08491122274302196
330122,桐庐县,Zhejiang,downstream,1836.3702949641602,1452.1655420022075,0.7907803485955152
330127,淳安县,Zhejiang,downstream,4423.373509961945,3679.7728009345296,0.8318928511569865
330182,建德市,Zhejiang,downstream,2325.936264706112,1028.2718085795448,0.44208941757459097
330203,海曙区,Zhejiang,downstream,592.761668530871,123.80525323217661,0.20886177329755734
330205,江北区,Zhejiang,downstream,208.47894935377983,0.0,0.0
330206,北仑区,Zhejiang,downstream,671.2116836368905,0.0,0.0
330211,镇海区,Zhejiang,downstream,271.373357945431,0.0,0.0
330212,鄞州区,Zhejiang,downstream,832.0798742124622,152.7080595285584,0.18352572182218907
330213,奉化区,Zhejiang,downstream,1342.7525621118245,485.47200488987085,0.36154986301150005
330225,象山县,Zhejiang,downstream,1510.7799775122069,0.0,0.0
330226,宁海县,Zhejiang,downstream,1903.5766269444198,0.0,0.0
330281,余姚市,Zhejiang,downstream,1537.593455814174,51.28032711278166,0.03335103106667953
330282,慈溪市,Zhejiang,downstream,1486.8680257906806,0.0,0.0
330302,鹿城区,Zhejiang,downstream,291.52318862318873,0.0,0.0
330303,龙湾区,Zhejiang,downstream,321.8454801080001,0.0,0.0
330304,瓯海区,Zhejiang,downstream,465.02983837852247,0.0,0.0
330305,洞头区,Zhejiang,downstream,355.0367821272163,0.0,0.0
330324,永嘉县,Zhejiang,downstream,2675.8904197623315,52.20737556768325,0.019510281580334753
330326,平阳县,Zhejiang,downstream,980.775435276393,1.1799228271703208,0.001203050958181682
330327,苍南县,Zhejiang,downstream,1230.013925688285,9.47759212955541,0.007705272218159632
330328,文成县,Zhejiang,downstream,1293.6546520131037,414.2251986539283,0.32019766481675555
330329,泰顺县,Zhejiang,downstream,1767.7716534602278,819.5287436453361,0.4635942329096603
330381,瑞安市,Zhejiang,downstream,1302.5359559800822,0.0,0.0
330382,乐清市,Zhejiang,downstream,1438.5762025574156,207.89952397261774,0.14451756090711515
330383,龙港市,Zhejiang,downstream,157.72616371921362,0.0,0.0
330402,南湖区,Zhejiang,downstream,435.80188444724547,435.801884447245,0.999999999999999
330411,秀洲区,Zhejiang,downstream,549.3896986333465,505.47395161524094,0.9200644876899773
330421,嘉善县,Zhejiang,downstream,506.2871694046178,448.6167001597455,0.8860913870033651
330424,海盐县,Zhejiang,downstream,942.9784209627586,193.15906482893533,0.20483932668546592
330481,海宁市,Zhejiang,downstream,863.0786230775541,0.4905585715515103,0.0005683822521316577
330482,平湖市,Zhejiang,downstream,581.6237372109991,513.8102831491487,0.8834066601424672
330483,桐乡市,Zhejiang,downstream,727.9493581567287,57.655296809776814,0.07920234582769359
330502,吴兴区,Zhejiang,downstream,862.6984148765138,486.1971171191767,0.5635771536554529
330503,南浔区,Zhejiang,downstream,702.3973339475092,112.93050677185525,0.16077866659484594
330521,德清县,Zhejiang,downstream,939.4070902988325,629.5335255823574,0.6701392102353603
330522,长兴县,Zhejiang,downstream,1433.6922371164071,742.8957380391331,0.5181696034940688
330523,安吉县,Zhejiang,downstream,1886.0989656016957,464.10747909530494,0.24606740556015694
330602,越城区,Zhejiang,downstream,658.5333778418017,193.99960287878838,0.29459342442835534
330603,柯桥区,Zhejiang,downstream,1069.7839196898187,533.6146857041435,0.49880604473739315
330604,上虞区,Zhejiang,downstream,1235.4799123314447,121.18398205104617,0.0980865660716108
330624,新昌县,Zhejiang,downstream,1220.4103228934441,97.26206587411191,0.07969620057253811
330681,诸暨市,Zhejiang,downstream,2313.840300093012,1141.2185429174438,0.4932140489002499
330683,嵊州市,Zhejiang,downstream,1781.626154894596,51.02965487430698,0.02864217879498181
330702,婺城区,Zhejiang,downstream,1389.4531093624198,0.0,0.0
330703,金东区,Zhejiang,downstream,663.9525709403498,0.0,0.0
330723,武义县,Zhejiang,downstream,1580.884270243928,580.1472966807343,0.3669764495735152
330726,浦江县,Zhejiang,downstream,891.7414939670243,210.28510934253472,0.2358139783392325
330727,磐安县,Zhejiang,downstream,1184.9866293902126,249.5656510131742,0.21060630122181148
330781,兰溪市,Zhejiang,downstream,1304.8308785072343,147.0120738361044,0.11266753129286045
330782,义乌市,Zhejiang,downstream,1107.7412235881714,0.0,0.0
330783,东阳市,Zhejiang,downstream,1755.0869854682837,229.03685306241715,0.13049886128652857
330784,永康市,Zhejiang,downstream,1042.0813570813693,152.1882344702488,0.14604256513761374
330802,柯城区,Zhejiang,downstream,604.230260246953,392.2861153131572,0.6492328192117145
330803,衢江区,Zhejiang,downstream,1752.2631906767328,815.0545287147348,0.4651438967909591
330822,常山县,Zhejiang,downstream,1098.3065419088914,966.3340813904629,0.8798400487635663
330824,开化县,Zhejiang,downstream,2232.164306461802,1545.34026551681,0.6923057863810773
330825,龙游县,Zhejiang,downstream,1143.7202967945364,225.3295660171096,0.19701457309853876
330881,江山市,Zhejiang,downstream,2017.9097064817954,499.1297226801089,0.24734987947024467
330902,定海区,Zhejiang,downstream,612.6794068431582,0.0,0.0
330903,普陀区,Zhejiang,downstream,499.8891374247891,0.0,0.0
330921,岱山县,Zhejiang,downstream,347.2254640771381,0.0,0.0
330922,嵊泗县,Zhejiang,downstream,155.16190246716923,0.0,0.0
331002,椒江区,Zhejiang,downstream,365.1461131717215,0.0,0.0
331003,黄岩区,Zhejiang,downstream,989.5836642543163,12.133017722447482,0.012260729598431788
331004,路桥区,Zhejiang,downstream,360.5691860238901,0.0,0.0
331022,三门县,Zhejiang,downstream,1230.0317536353416,0.0,0.0
331023,天台县,Zhejiang,downstream,1423.229486015891,30.780768680088613,0.021627410746143667
331024,仙居县,Zhejiang,downstream,1999.9174418995105,0.0,0.0
331081,温岭市,Zhejiang,downstream,1097.2178491184643,0.0,0.0
331082,临海市,Zhejiang,downstream,2266.0441453174194,0.0,0.0
331083,玉环市,Zhejiang,downstream,637.9597772076177,0.0,0.0
331102,莲都区,Zhejiang,downstream,1503.0729750549303,17.182422391198227,0.011431529058374752
331121,青田县,Zhejiang,downstream,2474.8929577491263,160.90819329414802,0.06501622334425781
331122,缙云县,Zhejiang,downstream,1498.9865951356003,9.87241230495682,0.006586057765288921
331123,遂昌县,Zhejiang,downstream,2533.5870734968,0.15082183056575507,5.952897066118757e-05
331124,松阳县,Zhejiang,downstream,1402.9725718422874,0.0,0.0
331125,云和县,Zhejiang,downstream,976.5369380411703,132.5145796098937,0.13569848148878416
331126,庆元县,Zhejiang,downstream,1895.3146670958868,778.2500211095501,0.4106178433695291
331127,景宁畲族自治县,Zhejiang,downstream,1937.0193188129406,362.95079819744734,0.18737593098445385
331181,龙泉市,Zhejiang,downstream,3035.905897286227,670.5237049703378,0.22086445616437378
340102,瑶海区,Anhui,downstream,223.20170672720963,0.0,0.0
340103,庐阳区,Anhui,downstream,136.5931682631307,0.0,0.0
340104,蜀山区,Anhui,downstream,649.1167506000659,0.0,0.0
340111,包河区,Anhui,downstream,312.14459922605363,0.0,0.0
340121,长丰县,Anhui,downstream,1836.480230493782,0.0,0.0
340122,肥东县,Anhui,downstream,2192.9836364014495,0.0882117539960078,4.022453817337088e-05
340123,肥西县,Anhui,downstream,1699.3253412103036,0.0,0.0
340124,庐江县,Anhui,downstream,2354.943704031302,12.641597175389162,0.005368110139426556
340181,巢湖市,Anhui,downstream,2067.628287270922,558.1228150650834,0.269933826356068
340202,镜湖区,Anhui,downstream,116.03217988556156,0.0,0.0
340207,鸠江区,Anhui,downstream,883.718969513416,0.0,0.0
340209,弋江区,Anhui,downstream,517.020390850441,204.8597492084788,0.39623146946198257
340210,湾沚区,Anhui,downstream,646.5624947658132,0.0,0.0
340211,繁昌区,Anhui,downstream,571.239981593977,464.8047899291628,0.813676921969258
340223,南陵县,Anhui,downstream,1267.1969063757608,262.3814817056261,0.20705659900642331
340281,无为市,Anhui,downstream,2007.1696977773165,465.9019920089122,0.23211888487796473
340302,龙子湖区,Anhui,downstream,148.61818878096656,0.0,0.0
340303,蚌山区,Anhui,downstream,90.09311868635908,0.0,0.0
340304,禹会区,Anhui,downstream,321.7307023965704,16.361337637293158,0.05085413830703018
